ID,Artigo,Categoria,Tipo,Keywords,Status,Data_Publicacao,Semana,Palavra-chave_Principal,URL_Slug
1,Hipertrofia - Artigo 01,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-01,1,[KEYWORD_1],hipertrofia-01
2,Hipertrofia - Artigo 02,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-02,1,[KEYWORD_2],hipertrofia-02
3,Hipertrofia - Artigo 03,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-03,1,[KEYWORD_3],hipertrofia-03
4,Hipertrofia - Artigo 04,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-04,1,[KEYWORD_4],hipertrofia-04
5,Hipertrofia - Artigo 05,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-05,1,[KEYWORD_5],hipertrofia-05
6,Hipertrofia - Artigo 06,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-06,1,[KEYWORD_6],hipertrofia-06
7,Hipertrofia - Artigo 07,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-07,2,[KEYWORD_7],hipertrofia-07
8,Hipertrofia - Artigo 08,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-08,2,[KEYWORD_8],hipertrofia-08
9,Hipertrofia - Artigo 09,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-09,2,[KEYWORD_9],hipertrofia-09
10,Hipertrofia - Artigo 10,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-10,2,[KEYWORD_10],hipertrofia-10
11,Hipertrofia - Artigo 11,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-11,2,[KEYWORD_11],hipertrofia-11
12,Hipertrofia - Artigo 12,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-12,2,[KEYWORD_12],hipertrofia-12
13,Hipertrofia - Artigo 13,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-13,3,[KEYWORD_13],hipertrofia-13
14,Hipertrofia - Artigo 14,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-14,3,[KEYWORD_14],hipertrofia-14
15,Hipertrofia - Artigo 15,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-15,3,[KEYWORD_15],hipertrofia-15
16,Hipertrofia - Artigo 16,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-16,3,[KEYWORD_16],hipertrofia-16
17,Hipertrofia - Artigo 17,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-17,3,[KEYWORD_17],hipertrofia-17
18,Hipertrofia - Artigo 18,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-18,3,[KEYWORD_18],hipertrofia-18
19,Hipertrofia - Artigo 19,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-19,4,[KEYWORD_19],hipertrofia-19
20,Hipertrofia - Artigo 20,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-20,4,[KEYWORD_20],hipertrofia-20
21,Hipertrofia - Artigo 21,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-21,4,[KEYWORD_21],hipertrofia-21
22,Hipertrofia - Artigo 22,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-22,4,[KEYWORD_22],hipertrofia-22
23,Hipertrofia - Artigo 23,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-23,4,[KEYWORD_23],hipertrofia-23
24,Hipertrofia - Artigo 24,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-24,4,[KEYWORD_24],hipertrofia-24
25,Hipertrofia - Artigo 25,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-25,5,[KEYWORD_25],hipertrofia-25
26,Hipertrofia - Artigo 26,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-26,5,[KEYWORD_26],hipertrofia-26
27,Hipertrofia - Artigo 27,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-27,5,[KEYWORD_27],hipertrofia-27
28,Hipertrofia - Artigo 28,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-28,5,[KEYWORD_28],hipertrofia-28
29,Hipertrofia - Artigo 29,Hipertrofia e Ganho de Massa,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-29,5,[KEYWORD_29],hipertrofia-29
30,Hipertrofia - Artigo 30,Hipertrofia e Ganho de Massa,Sem Ciência,[KEYWORDS_PENDING],Pendente,2025-12-30,5,[KEYWORD_30],hipertrofia-30
31,Emagrecimento - Artigo 01,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2025-12-31,6,[KEYWORD_31],emagrecimento-01
32,Emagrecimento - Artigo 02,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-01,6,[KEYWORD_32],emagrecimento-02
33,Emagrecimento - Artigo 03,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-02,6,[KEYWORD_33],emagrecimento-03
34,Emagrecimento - Artigo 04,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-03,6,[KEYWORD_34],emagrecimento-04
35,Emagrecimento - Artigo 05,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-04,6,[KEYWORD_35],emagrecimento-05
36,Emagrecimento - Artigo 06,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-05,6,[KEYWORD_36],emagrecimento-06
37,Emagrecimento - Artigo 07,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-06,7,[KEYWORD_37],emagrecimento-07
38,Emagrecimento - Artigo 08,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-07,7,[KEYWORD_38],emagrecimento-08
39,Emagrecimento - Artigo 09,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-08,7,[KEYWORD_39],emagrecimento-09
40,Emagrecimento - Artigo 10,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-09,7,[KEYWORD_40],emagrecimento-10
41,Emagrecimento - Artigo 11,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-10,7,[KEYWORD_41],emagrecimento-11
42,Emagrecimento - Artigo 12,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-11,7,[KEYWORD_42],emagrecimento-12
43,Emagrecimento - Artigo 13,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-12,8,[KEYWORD_43],emagrecimento-13
44,Emagrecimento - Artigo 14,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-13,8,[KEYWORD_44],emagrecimento-14
45,Emagrecimento - Artigo 15,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-14,8,[KEYWORD_45],emagrecimento-15
